Territory	Language	Language (English)	Vernacular Title	English Title	Home
Australia	Pitjantjatjara	Pitjantjatjara	Tjukurpa Palya	Pitjantjatjara Shorter Bible	pjt
Australia	Rembarrnga	Rembarunga	Rembarrnga Christmas Story	Rembarrnga Christmas Story	rmb
Australia	Kuuk Thayorre	Thayore	Kuuk Thayorre Bible Portions	Thayorre Bible Portions	thd
Australia	Tiwi	Tiwi	Tiwi Bible	Tiwi Gospels	tiw
Australia	Tiwi	Tiwi	Tiwi Selections	Tiwi Selections	tiwm
Australia	Yumplatok	Torres Strait Creole	Baibol Tores Streit Yumplatok	Yumplatok Bible	tcs
Australia	Walmajarri	Walmajarri	Wangki Wulyu Jirrkirlikanujuwal	Walmajarri Bible	wmt
Australia	Warlpiri	Warlpiri	Warlpiri Short Bible	Warlpiri Bible	wbp
Australia	Wik-Mungkan	Wik-Mungkan	Wik Inangan Kan-Kanam God.antama	Wik-Mungkan NT	wim
Australia	Worrorra	Worrorra	Worrorra Mark & Luke	Worrorra Mark and Luke	wro
Australia	Yän-nhaŋu	Yan-nhangu	Yän-nhaŋu Selections	Yan-nhangu Selections	jay
Australia	Yanyuwa	Yanyuwa	Selections from Luke, Mark, Acts, Genesis, Ruth, and Romans	Yanyuwa Bible portions	jao
Australia	Yindjibarndi	Yindjibarndi	NYIRTINGU MANYKA WANTHARNA NGURRAY	Yindjibarndi Luke	yij
Azerbaijan	Ts‘əxna miz	Tsakhur	Tsakhur	Tsakhur Bible	tkr
Azerbaijan	Udi	Udi	Udi Bible	Udi Bible	udi
Bangladesh	বাংলা	Bengali	পবিত্র বাইবেল	Bengali Bible (ERV)	ben2006
Bangladesh	বাংলা	Bengali	ইন্ডিয়ান রিভাইজড ভার্সন (IRV) - বেঙ্গলী	Bengali Indian Revised Version Bible: ইন্ডিয়ান রিভাইজড ভার্সন (IRV) - বেঙ্গলী	benirv
Bangladesh	বাংলা	Bengali	Biblica® মুক্তভাবে বাংলা সমকালীন সংস্করণের	Open Bengali Contemporary Version Bible	benobcv
Bangladesh	Koda	Koda	কড়া অনুবাদ	Koda Bible	cdz
Bangladesh	Sylheti	Sylheti	Sylheti Bible (Latin script)	Sylheti NT (Latin)	syll
Bangladesh	Sylheti	Sylheti	Sylheti Bible (Bangla script)	Sylheti NT Bangla	syl
Bangladesh	Sylheti	Sylheti	Sylheti Bible (Nagri script)	Sylheti NT+ Nagri	syls
Belarus	Belarusian	Belarusian	Біблія (пераклад А.Бокуна)	Belarusan Bible, A. Boken	bel
Belarus	беларуская	беларуская	Новы Запавет і Кнігі Старога Запавету	Belarusian New Testament and Books of Old Testament	beln
Belgium	Nederlands	Nederlands	Gods Boek	Dutch: Gods Boek	nldgbv
Belize	Bileez Kriol	Belize Kriol English	Di Nyoo Testiment eena Bileez Kriol	New Testament in Belize Kriol English (BH:bzj:Belize Kriol English)	bzj
Belize	Maya, Mopán	Maya, Mopán	Le'ec Ada' U T'an A Dios A Tumulbene	Mopán Maya NT	mopNT
Benin	Bariba	Baatonum	Bibeli Gusunɔn Gari	Bariba Bible	bba
Benin	Ditammari	Ditammari	Bibiri Kuyie Nnɑ́ɑǹtì Pɑ́tíri	Ditammari Bible	tbzsim
Benin	Fulfulde Borgu	Fulfulde, Borgu	Alkawal Kesal	Fulfulde Borgu NT	fue
Benin	Fulfulde Burkina	Fulfulde, Western Niger	Fulfulfe Burkina, Dewtere Laamɗo Amaana Keso	Fulfulde Burkina NT	fuhbkf
Benin	Lokpa	Lukpa	PIIPILI ƖSƆ TƆM TAKƎLAƔA	Lokpa Bible	dop
Benin	Sola	Miyobe	Nkomine Fal Ritɛlɛ́	Sola NT	soy
Benin	Monkole	Mokole	Akabuu Titɔ̃i Idei Ilaaɔ	Monkole NT	mkl
Bolivia	Cavineña	Cavineña	Yusuja Quisarati	Cavineña NT	cavNT
Bolivia	Chácobo	Chácobo	Dios Chani	Chácobo NT	caoNT
Bolivia	Chipaya	Chipaya	Ew Testamento: Chipay Tawkquiztan	Chipaya NT	capNT
Bolivia	Chiquitano	Chiquitano	Manitanati Tuparrü	Chiquitano NT	caxNT
Bolivia	Ese Ejja	Ese Ejja	Eyacuiñajjija Esohui	Ese Ejja NT	eseNT
Bolivia	Guaraní, Eastern Bolivian	Guaraní, Eastern Bolivian	Nuevo Testamento Guaraní Pe	Eastern Bolivian Guaraní NT	guiNT
Bolivia	Guaraní, Western Bolivian	Guaraní, Western Bolivian	Nuevo Testamento Guaraní Pe	Western Bolivian Guaraní NT	gnwNT
Bolivia	Guarayu	Guarayu	Tũpa Ñehengagüer	Guarayu NT	gyrNT
Bolivia	Ignaciano	Ignaciano	Eta Táurinaquene máechajiriruvahi ema Viya eta viyehe, ticaijare puito Eta Nuevo Testamento	Ignaciano NT	ignNT
Bolivia	Quechua, North Bolivian	Quechua, North Bolivian	Mosoj Testamento	North Bolivian Quechua NT	qulNT
Bolivia	Quechua, South Bolivian	Quechua, South Bolivian	Dios Parlapawanchej	South Bolivian Quechua NT	quhNT
Bolivia	Sirionó	Sirionó	Mbia Cheẽ	Sirionó NT	srqNT
Bolivia	Tacana	Tacana	Diusu sa mimi	Tacana NT	tnaNT
Botswana	Naro	Naro	Ka̱bas Qae-xg'ae sa	Naro NT	nhr
Botswana	Tswana	Setswana	Biblica® Open Lefoko: La Botshelo Kgolagano e Ntsha	Open Tswana Living NT	tsn
Brazil	Apalaí	Apalaí	Ritonõpo Omiry: A Bíblia Sagrada na língua Aparai do Brasil	Apalai NT	apyNT
Brazil	Apinayé	Apinayé	Tĩrtũm kapẽr ã kagà nyw	Apinayé NT	apnNT
Brazil	Apurinã	Apurinã	Teoso sãkire amaneri	Apurinã NT	apuNT
Brazil	Bakairí	Bakairí	Deus Itaumbyry	Bakairí NT	bkqNT
Brazil	Borôro	Borôro	Pao Kurireu Bataru Kurireu; O Novo Testamento	Borôro: Pao Kurireu Bataru Kurireu; O Novo Testamento (New Testament)	bor
Brazil	Canela	Canela	Canela	Canela Bible	ram
Brazil	Desano	Desano	Desano	Desano: Goãmʉ Yare Wereripʉ New Testament	des
Brazil	Guajajára	Guajajára	Tupàn ze'eg	Guajajára Bible	gubBl
Brazil	Mbyá Guaraní	Guaraní, Mbyá	Nhanderuete ayvu iky'a e'ỹ va'e	Mbyá Guaraní NT	gun
Brazil	Hixkaryána	Hixkaryána	Khoryenkom Karyehtanà	Hixkaryána NT	hixNT
Brazil	Jamamadí	Jamamadí	Teoso Ka Yama Hani	Jarawara NT	jaa
Brazil	Kaapor	Kaapor	Tupã Je'ẽha	Kaapor NT	urbNT
Brazil	Kadiwéu	Kadiwéu	Gela Liwai Lotaɡ̶anaɡ̶axi Aneotedoɡ̶oji	Kadiwéu NT	kbcNT
Brazil	Kaingang	Kaingang	Topẽ vĩ rá	Kaingang NT	kgpNT
Brazil	Kaiwá	Kaiwá	Nhandejáry Nhe'ẽ	Kaiwá NT	kgkNT
Brazil	Karajá	Karajá	Deuxu Rybe Tyyriti	Karajá NT	kpjNT
Brazil	Kayabí	Kayabí	Janeruwarete 'Ga Je'eg	Kayabí NT	kyzNT
Brazil	Kayapó	Kayapó	Metĩndjwỳnh Kute Memã Kabẽn Ny Jarẽnh	Kayapó NT	txuNT
Brazil	Culina	Kulina	El Nuevo Testamento en el idioma Culina (mádija) del Perú	Culina NT	cul
Brazil	Macushi	Macushi	Macushi	Macushi NT	mbcNT
Brazil	Maxakalí	Maxakalí	Topa Yõg Tappet	Maxakalí NT	mblNT
Brazil	Mundurukú	Mundurukú	Deus ekawẽntup Kawẽn iisuat ekawẽn	Mundurukú NT	myu
Brazil	Nadëb	Nadeb	Pop Hagä Do Panyyg Hanäm Do Hahỹỹh	Nadëb NT	mbjNT
Brazil	Nambikuára, Southern	Nambikuára, Southern	Txa²wã¹sũ̱³na² Wãn³txa²	Southern Nambikuára NT	nabNT
Brazil	Palikúr	Palikúr	Uhokri Gannasan	Palikúr NT	plu
Brazil	Parecís	Parecís	Waitare Wenati Aho	Parecís NT	pabNT
Brazil	Paumarí	Paumarí	Deus Athi Kapapirani Hida	Paumarí NT	padNT
Brazil	Português	Português	Biblia Livre Para Todos	Portuguese Free Bible for All	porblt
Brazil	Português	Português	Biblica® Open Nova Bíblia Viva 2007	Portuguese ONBV	poronbv
Brazil	Português	Portuguese	Novo Testamento: Versão Fácil de Ler	Brazillian Portuguese NT, Easy Reading Version	por-WBTC
Brazil	Português	Portuguese	Bíblia Livre	Portuguese Bíblia Livre	porbr2018
Brazil	portugues	Portuguese	A Bíblia Sagrada, Tradução para Tradutores	Portuguese Translation for Translators	portft
Brazil	Português	Portuguese	Bíblia Portuguesa Mundial	World Portuguese Bible	porbrbsl
Brazil	Rikbaktsa	Rikbaktsa	Deus Harere Aibaky Sesus mymyspirikpoko naha	Rikbaktsa NT	rkbNT
Brazil	Sateré-Mawé	Sateré-Mawé	Tupana Ehay Satere Mawe Pusupuo	Sateré-Mawé NT	mavNT
Brazil	Tenharim	Tenharim	Tupanaʼga nhiʼig̃a	Tenharim NT	pahNT
Brazil	Terêna	Terêna	Emo'u Itukó'oviti	Terêna NT	terNT
Brazil	Tucano	Tucano	Õ'âkĩ̶ hɨ yeere uúkũri turi Tukano	Tucano NT	tuoNT
Brazil	Xavánte	Xavánte	'Re ĩhâimana u'âsi mono zadawa wasu'u	Xavánte NT	xavNT
Burkina Faso	Bissa	Bissa	Bissa	Bisa: Wosoci Gʊaasɩbabaa Daa New Testament	bib
Burkina Faso	Buamu	Buamu	Dónbeenì páaníi fĩnle vũahṹ	Buamu NT	boxNT
Burkina Faso	Cerma	Cerma	Diiloŋ-nelma Tobisĩfɛlɛnni	New Testament in Cerma (UV:cme:Cerma)	cmeNT
Burkina Faso	Eastern Karaboro	Eastern Karaboro	Yãhã Naambiyãrfãn Saba	Karaboro, Eastern: YÃHÃ NAAMBIYÃRFÃN SABA New Testament	xrb
Burkina Faso	Gourma	Gourmanchéma	Bible Gourma	Gourmanchéma NT	gux
Burkina Faso	Gourmantche	Gourmanchéma	Bible Gourmantche	Gourmanchéma NT	guxg
Burkina Faso	Julakan	Julakan	Jula	Jula Bible	dyu
Burkina Faso	Kasem	Kasem	Kasem	Kasem NT	xsm
Burkina Faso	Nuni, Southern	Nuni, Southern	Nuni, Southern	Southern Nuni NT	nnw
Burkina Faso	Southern Toussian	Toussian, Southern	Toussian, Southern	Southern Toussian NT	wib
Cambodia	Khmer	Central Khmer	ព្រះគម្ពីរខ្មែរបកប្រែចាស់ ១៩៥៤	Khmer Hammond Translation	khm-h
Cambodia	Khmer	Central Khmer	ព្រះគម្ពីរខ្មែរបច្ចុប្បន្ន ២០០៥	Khmer Standard Version	khm
Cambodia	Tampuan	Tampuan	គម្ពីរ​ភាសា​ទំពួន	Tampuan: គម្ពីរ​ភាសា​ទំពួន (Bible)	tpu
Cameroon	Akoose	Akoose	Melɛ̌ Mékɔ̄ɔ̄lē	Akoose NT	bssNT
Cameroon	Bafut	Bafut	Bafut	Bafut: Ǹtoò Kristo yî Ǹsɨgɨ̀nǝ̀: mɨ̀kàà yî mfiì New Testament	bfd
Cameroon	Bambalang	Bambalang	Ŋwaʼaŋlɨ Kɨǹ a Fhi	Bambalang: Ŋwaʼaŋlɨ Kɨǹ a Fhi (New Testament+)	bmo
Cameroon	Bana	Bana	Zliya Yǝwǝn kwǝma wǝzǝ naa dzǝkǝn Yesǝw Kǝristǝw	Bana: Zliya Yǝwǝn kwǝma wǝzǝ naa dzǝkǝn Yesǝw Kǝristǝw New Testament	bcw
Cameroon	Cameroon Mambila	Cameroon Mambila	Mvù Ŋgɔ̀ŋ Feê	Mambilla NT	mcu
Cameroon	Chung	Cung	Kiŋwakti ki Nyɔ Miŋkaiŋ Mifiaŋ	Chung NT+	cug
Cameroon	Denya	Denya	Ŋwɛ menomenyɛɛ́ mekɛ́	New Testament in Denya (CM:anv:Denya)	anvNT
Cameroon	Hdi	Hdi	Deftera Lfiɗa Dzratawi	Hdi NT	xed
Cameroon	Kako	Kako	Kako	Kako NT	kkj
Cameroon	Kenyang	Kenyang	Ɛkáti Nku Nkɔ	Kenyang NT	kenNT
Cameroon	Makaa	Makaa	Kálaad Zɛmbî : Sɔ ̧ á Gúgwáan	Makaa NT	mcp
Cameroon	Matal	Matal	Wakità Zəzagəla Wakità Aŋa Makəs Vok Slawda Mawga (Cameroun)	Matal NT	mfh
Cameroon	Mbuko	Mbuko	Mbuko: Aɓan 'am wiya awan	Mbuko NT	mqbNT
Cameroon	Merey	Merey	Dzam Weɗeye	Merey NT	meq
Cameroon	Mofu-Gudur	Mofu-Gudur	Mofu-Gudur	Mofu-Gudur NT	mif
Cameroon	Muyang	Muyang	Ma Mʉweni Sulumani ge Melefit	Muyang NT	muy
Cameroon	Nchane	Ncane	Nchane (Ncane)	Ncane NT	ncr
Cameroon	Noone	Noone	Ŋwa' Nyo' Moŋkan mo Monfɛm	Noone NT	nhuNT
Cameroon	Sari	Sari	Sari	Sari NT+	asj
Cameroon	Wandala	Wandala	Wandala	Wandala Bible	mfi
Cameroon	Yamba	Yamba	Yamba	Yamba NT	yam
Canada	Algonquin	Algonquin	Kije Manido Odikido8in: Ocki Mazinaigan	Algonquin NT	alqALGNT
Canada	Dane Zaa	Beaver	OOTECH OOCHU TAKEHNIYA TINKLES ST. MARK	Beaver Mark	bea
Canada	Siksiká	Blackfoot	ŎKHS' I TSĬN IK SĬN NI ST. MATTHEW OT SĬN AI PI.	Blackfoot Matthew	bla
Canada	Carrier	Carrier	Yak'usda Ooghuni	Carrier NT	crxNTpo
Canada	Carrier, Southern	Carrier, Southern	Yakʼusda bughunek: k’andit khunek neba lhaidinla	Southern Carrier NT	cafNT
Canada	Cree, Northern East	Cree, Northern East	Īyiyū Ayimūn	Cree, Northern East: Cree: Coastal (East Coast) New Testament	crl
Canada	Dogrib	Dogrib	Nǫ̀htsı̨̨ Nı̨̨htł'è	Dogrib Bible	dgrDOGNT
Canada	Īnū Ayimūn	Īnū Ayimūn	Cree: Eastern. Chishemanituu Utayimuwin kaa uskaach testimint.	Cree, Southern East: Cree: Eastern. Chishemanituu Utayimuwin kaa uskaach testimint. New Testament	crj
Canada	Mi'kmaq	Mi'kmaq	Gelulg Glusuaqan: Gisiteget Agnutmugsi'gw	Mi'kmaq NT	micMIQNT
Central African Republic	Kabba	Kabba	Tar le Lubba ke tar Kabba	Kaba Bible	ksp
Chad	Bedjond	Bedjond	KƗLӘ-MƗNDƗ KƗ SƗGƗ	Bedjond NT	bjvNT
Chad	Dangaléat	Dangaléat	Jamaw ta Marbinto: Kabarre ta Gala ɗo bi ka Iisa Masi iŋ daŋla	Dangaléat NT	daaNT
Chad	Gor	Gor	Ta lǝ Luwǝ Kunmindɨ kɨ Sigɨ	New Testament in Gor	gqr
Chad	Kenga	Kenga	Kitapm kɛn Raa dɔɔko kiji ute jeege	Kenga NT	kyq
Chad	Kimré	Kimré	Kimré	Kimré: Magtubu tôô toɲ biɲare to kôrbi New Testament	kqp
Chad	Kuo	Kuo	Kuo	Kuo NT	xuo
Chad	Mango	Mango	Mango	Mango NT	mge
Chad	Guerguiko	Mukulu	Mattup ki Taasuwa ere Aware	Mukulu NT	moz
Chad	Somrai	Somrai	Maktubu dɨnə Mãr̰ĩ duwa	Somrai Bible	sor
Chile	Mapudungun	Mapudungun	Ngünechen ñi Küme Dungu	Mapudungun NT	arnNT
China	Bisu	Bisu	Bisu	Bisu: จี่วีดม้าม้า พระคัมภีร์ อางซื่อ บี่ซู่ ต่าง New Testament	bzi
China	中国语文	Chinese	圣 经 普通话本	Chinese (simplified) Easy Reading Version	cmn2006
China	中国语文	Chinese	新译本	Chinese New Version (simplified)	cmn-ncvs
China	中國語文	Chinese	新譯本	Chinese New Version (traditional)	cmn-ncvt
China	中国语文	Chinese	新标点和合本	Chinese Union Version (simplified)	cmn-cu89s
China	中國語文	Chinese	新標點和合本	Chinese Union Version (traditional)	cmn-cu89t
China	中國語文	Chinese	免费的易读圣经 Free Easy-to-read Bible	Chinese, Mandarin: 免费的易读圣经 Free Easy-to-read Bible (Bible)	cmnfeb
China	Dongxiang	Dongxiang	Hudani Kielien	Donxian NT	sce
China	Lahu Si	Lahu Si	Lahu Shi	Lahu Shi: Lad hur Si Liq Phu Awg Suhx New Testament	lhi
China	中文	Mandarin Chinese	Biblica® 聖經，當代譯本開放資源	Chinese, Mandarin: Biblica® 聖經，當代譯本開放資源 (Bible)	cmncbt
China	中文	Mandarin Chinese	Biblica® 圣经当代译本开放资源	Mandarin Chinese Open Contemporary Bible (Simplified)	cmncbs
China	བོད་ཡིག	Tibetan	Central Tibetan Bible	Central Tibetan Bible	bod
China	བོད་ཡིག	Tibetan	དམ་པའི་གསུང་རབ་བོད་འགྱུར་གསར་མ།	New Tibetan Bible	bodn
China	Uyghur tili	Uyghur	مۇقېددېس كالام (يەنگى يېزىق)	Uyghur Bible (arabic script)	uigara
China	Uyghur tili	Uyghur	Муқеддес Калам (кирил йезиқ)	Uyghur Bible (cyrillic script)	uigcyr
China	Uyghur tili	Uyghur	Muⱪeddes Kalam (yǝngi yeziⱪ)	Uyghur Bible (former latin script)	uigpin
China	Uyghur tili	Uyghur	Muqeddes Kalam (latin yéziq)	Uyghur Bible (modern latin script)	uiglat
Colombia	Achagua	Achagua	Liáꞌa Chuánshi Dios Shínaa	Achagua Partial NT [aca] -Colombia 2013	aca
Colombia	Awa-Cuaiquer	Awa-Cuaiquer	Masas Pit Jesucristowa	Awa-Cuaiquer NT	kwi
Colombia	Barasana-Eduria	Barasana-Eduria	Dios oca gotirituti	Barasana-Eduria NT	bsnNT
Colombia	Cacua	Cacua	Dios ã jáap naáwát tólih	Cacua NT	cbv
Colombia	Camsá	Camsá	Bëngbe Bëtsa Cabëngaftaca Entsoyebuambna	Camsá NT	kbh
Colombia	Carapana	Carapana	Dios Cʉ̃ Cauetibʉjʉ Cũrĩcã Tuti	Carapana NT	cbcNT
Colombia	Cubeo	Cubeo	Majepacʉ jʉ̃menijicʉi yávaiye mamaene coyʉitucubo	Cubeo NT	cubNT
Colombia	Cuiba	Cuiba	Nacom Pejume Diwesi po diwesi pena jume diwesi xua Jesucristo yabara tinatsi	Cuiba NT	cui
Colombia	Epena	Epena	Tachi ak'õre pedee	Epena NT	sjaNT
Colombia	Guahibo	Guahibo	Dios pejumelivaisibaxuto pejanalivaisibaxuto	Guahibo NT	guh
Colombia	Guambiano	Guambiano	Nacom Pejume Diwesi po diwesi pena jume diwesi xua Jesucristo yabara tinatsi	Guambiano NT	gum
Colombia	Guanano	Guanano	Cohamacʉ Yare Yahari Tjuel	Guanano NT	gvc
Colombia	Guayabero	Guayabero	Pajelwʉajan Dios pejjamechan	Guayabero NT	guoNT
Colombia	Minica Huitoto	Huitoto, Minica	Juziñamui Ñuera Uai	Minica Huitoto NT	hto
Colombia	Inga	Inga	Kaipimi Taita Dius Rimaku	Inga NT	inb
Colombia	Kogi	Kogi	Kogi	Kogi NT	kog
Colombia	Koreguaje	Koreguaje	Koreguaje	Koreguaje: Dios Chʉ'o Kʉaphʉro New Testament	coe
Colombia	Macuna	Macuna	Dios Oca Tuti	New Testament in Macuna	myy
Colombia	Muinane	Muinane	Moocaani iijɨ	Muinane NT	bmrNT
Colombia	Páez	Páez	Páez	Páez NT	pbb
Colombia	Piapoco	Piapoco	El Nuevo Testamento de nuestro Señor Jesucristo en el idioma piapoco	Piapoco NT	pioNT
Colombia	Piratapuyo	Piratapuyo	Cohãcjʉ̃ Yere Yahuducuri Tju	Piratapuyo NT	pirNT
Colombia	Siona	Siona	Riusu cocabera: mai ëjaguë Jesucristo  ba'iyete toyani jo'case'e'ë	Siona NT	snnNT
Colombia	Siriano	Siriano	Marĩpʉya Kerere Wereri Turi	Siriano NT	sri
Colombia	Tanimuca-Retuarã	Tanimuca-Retuarã	Tuᵽarã Majaroka	Tanimuca-Retuarã NT portions	tnc
Colombia	Tatuyo	Tatuyo	Dio Wadarique	New Testament in Tatuyo	tav
Colombia	Central Tunebo	Tunebo, Central	Sir chihtá	Central Tunebo NT	tuf
Colombia	Tuyuca	Tuyuca	Cõãmacʉ̃ mecʉ̃ã wedesei	Tuyuca NT	tue
Colombia	Waimaja	Waimaha	U̶mʉreco pacʉ wederique	Waimaha NT	baoNT
Colombia	Wayuu	Wayuu	Wayuu	Wayuu: Tü nüchikimaajatkat Jesucristo New Testament	guc
Colombia	Woun Meu	Woun Meu	Ẽwandam Iek	Woun Meu NT	noaE
Colombia	Woun Meu	Woun Meu	Hẽwandam Hiek	Woun Meu NT	noaH
Colombia	Yucuna	Yucuna	Tupana Puraca'alo Mari	Yucuna NT	ycn
Congo	Bekwel	Bekwel	Bekwel	Bekwel NT	bkw
Congo	Kituba	Kituba	Mambu ya Nzambi	Kituba Bible	mkw
Congo	Teke-Tyee	Teke-Tyee	Teke Sud-Ouest	Teke-Tyee NT	tyx
Congo	Ivatan	Yaka	New Testament in the Yaka language (Congo-Brazzaville)	Ivatan Bible	iyx
Costa Rica	Bribri	Bribri	Tte Pa̱'a̱li̱ Me' Skëköl tö Se' a̱	Bribri Bible	bzdNTpo
Côte d'Ivoire	Adioukrou	Adioukrou	Adioukrou	Adioukrou: Amani Owr New Testament	adj
Côte d'Ivoire	Agni Sanvi	Agni Sanvi	Anyin	Anyin: Nyɩhyɛ Fʋfɔlɛʼn New Testament	any
Côte d'Ivoire	Dan	Dan	'WUN SË ‑NAƆ 'SËËDHƐ	Dan: 'WUN SË ‑NAƆ 'SËËDHƐ New Testament	dnj
Côte d'Ivoire	Dan	Dan	NAƆ ‑SË 'SËËDHƐ	Dan: NAƆ ‑SË 'SËËDHƐ New Testament	daf
Côte d'Ivoire	Djimini Senoufo	Djimini Senoufo	Bibulu Jinmiire ni	Sénoufo, Djimini: Bibulu Jinmiire ni Bible	dyi
Côte d'Ivoire	Kouya	Kouya	ʼWʋsuslolue loluu ʼsɛbhɛ	Kouya NT	kyf
Côte d'Ivoire	Mwan	Mwan	Mwan	Mwan NT	moa
